Nombre_jugador,posicion,seleccion,player_id,Valor_mercado,Total_Lesiones,Años_Expuesto,Tasa_Lambda,Prob_Lesion_Mundial_%,Puntuacion
César Samudio,Portero,Panamá,865550,250000,0,14,0.0,0.0,250000
Orlando Mosquera,Portero,Panamá,402979,700000,1,13,0.077,0.64,700000
César Blackman,Defensa,Panamá,440383,2500000,5,10,0.5,4.08,2500000
José Córdoba,Defensa,Panamá,698415,5000000,6,7,0.857,6.89,5000000
Fidel Escobar,Defensa,Panamá,345716,350000,7,13,0.538,4.38,350000
Edgardo Fariña,Defensa,Panamá,923177,900000,5,6,0.833,6.71,900000
Jiovany Ramos,Defensa,Panamá,403809,450000,1,11,0.091,0.76,450000
Eric Davis,Defensa,Panamá,121791,50000,9,17,0.529,4.31,50000
Andrés Andrade,Defensa,Panamá,403808,2500000,6,9,0.667,5.41,2500000
Michael Murillo,Defensa,Panamá,354482,7000000,11,12,0.917,7.36,7000000
Roderick Miller,Defensa,Panamá,157154,175000,6,16,0.375,3.08,175000
Jorge Gutiérrez,Defensa,Panamá,443379,800000,0,9,0.0,0.0,800000
Cristian Martínez,Mediocampista,Panamá,419247,800000,1,11,0.091,0.76,800000
José Rodríguez,Mediocampista,Panamá,165012,200000,6,13,0.462,3.78,200000
Adalberto Carrasquilla,Mediocampista,Panamá,375300,4000000,1,9,0.111,0.92,4000000
Ismael Díaz,Mediocampista,Panamá,243298,1800000,4,11,0.364,2.99,1800000
Yoel Bárcenas,Mediocampista,Panamá,283473,650000,2,14,0.143,1.18,650000
Carlos Harvey,Mediocampista,Panamá,628806,600000,2,8,0.25,2.06,600000
Alberto Quintero,Mediocampista,Panamá,126019,75000,7,20,0.35,2.87,75000
Aníbal Godoy,Mediocampista,Panamá,161671,100000,7,18,0.389,3.19,100000
César Yanis,Mediocampista,Panamá,741098,400000,1,12,0.083,0.69,400000
Tomás Rodríguez,Delantero,Panamá,569205,1000000,1,9,0.111,0.92,1000000
José Fajardo,Delantero,Panamá,546803,550000,1,14,0.071,0.59,550000
Cecilio Waterman,Delantero,Panamá,177064,250000,8,17,0.471,3.85,250000
Azarias Londoño,Delantero,Panamá,860998,1000000,3,6,0.5,4.08,1000000
Utkir Yusupov,Portero,Uzbekistán,311958,500000,1,17,0.059,0.49,500000
Abduvohid Nematov,Portero,Uzbekistán,527866,1500000,0,7,0.0,0.0,1500000
Botirali Ergashev,Portero,Uzbekistán,312690,500000,0,12,0.0,0.0,500000
Abdukodir Khusanov,Defensa,Uzbekistán,763079,50000000,2,4,0.5,4.08,50000000
Khojiakbar Alijonov,Defensa,Uzbekistán,492558,1300000,1,11,0.091,0.76,1300000
Farrukh Sayfiev,Defensa,Uzbekistán,212499,225000,0,17,0.0,0.0,225000
Rustam Ashurmatov,Defensa,Uzbekistán,288883,750000,1,11,0.091,0.76,750000
Sherzod Nasrullaev,Defensa,Uzbekistán,608537,1200000,1,9,0.111,0.92,1200000
Umar Eshmurodov,Defensa,Uzbekistán,493725,450000,0,15,0.0,0.0,450000
Abdulla Abdullaev,Defensa,Uzbekistán,570272,500000,0,10,0.0,0.0,500000
Bekhruz Karimov,Defensa,Uzbekistán,1106187,350000,2,1,2.0,15.35,350000
Avazbek Ulmasaliev,Defensa,Uzbekistán,538764,500000,0,8,0.0,0.0,500000
Jakhongir Urozov,Defensa,Uzbekistán,989069,600000,0,4,0.0,0.0,600000
Akmal Mozgovoy,Mediocampista,Uzbekistán,562022,1400000,0,9,0.0,0.0,1400000
Otabek Shukurov,Mediocampista,Uzbekistán,294525,1500000,2,11,0.182,1.51,1500000
Jamshid Iskanderov,Mediocampista,Uzbekistán,260857,1000000,0,14,0.0,0.0,1000000
Odiljon Hamrobekov,Mediocampista,Uzbekistán,288915,1000000,1,12,0.083,0.69,1000000
Jaloliddin Masharipov,Mediocampista,Uzbekistán,274536,1000000,5,14,0.357,2.93,1000000
Oston Urunov,Mediocampista,Uzbekistán,492556,2000000,15,7,2.143,16.35,2000000
Dostonbek Khamdamov,Mediocampista,Uzbekistán,294502,900000,0,11,0.0,0.0,900000
Azizjon Ganiev,Mediocampista,Uzbekistán,431911,2000000,2,10,0.2,1.65,2000000
Abbosbek Fayzullaev,Mediocampista,Uzbekistán,754037,7000000,4,4,1.0,8.0,7000000
Sherzod Esanov,Mediocampista,Uzbekistán,989068,450000,0,5,0.0,0.0,450000
Eldor Shomurodov,Delantero,Uzbekistán,358166,7000000,5,12,0.417,3.42,7000000
Azizbek Amonov,Delantero,Uzbekistán,517918,500000,0,10,0.0,0.0,500000
Igor Sergeev,Delantero,Uzbekistán,185372,1200000,1,15,0.067,0.56,1200000
Vozinha,Portero,Cabo Verde,242277,50000,1,22,0.045,0.37,50000
Márcio Rosa,Portero,Cabo Verde,398048,350000,1,11,0.091,0.76,350000
CJ Dos Santos,Portero,Cabo Verde,532096,1000000,1,7,0.143,1.18,1000000
Stopíra,Defensa,Cabo Verde,80486,50000,1,20,0.05,0.42,50000
Diney Borges,Defensa,Cabo Verde,349570,900000,0,13,0.0,0.0,900000
Pico Lopes,Defensa,Cabo Verde,166158,250000,2,16,0.125,1.04,250000
Logan Costa,Defensa,Cabo Verde,484988,15000000,1,7,0.143,1.18,15000000
Sidny Lopes Cabral,Defensa,Cabo Verde,611855,4000000,5,5,1.0,8.0,4000000
Steven Moreira,Defensa,Cabo Verde,203517,1500000,1,13,0.077,0.64,1500000
Wagner Pina,Defensa,Cabo Verde,1072017,11000000,3,5,0.6,4.88,11000000
Kelvin Pires,Defensa,Cabo Verde,662119,400000,0,8,0.0,0.0,400000
Kevin Pina,Mediocampista,Cabo Verde,544586,5000000,2,11,0.182,1.51,5000000
Jovane Cabral,Mediocampista,Cabo Verde,448466,1000000,11,10,1.1,8.76,1000000
João Paulo,Mediocampista,Cabo Verde,33318,,0,37,0.0,0.0,0
Jamiro Monteiro,Mediocampista,Cabo Verde,272930,650000,3,14,0.214,1.77,650000
Garry Rodrigues,Mediocampista,Cabo Verde,170895,300000,15,17,0.882,7.09,300000
Deroy Duarte,Mediocampista,Cabo Verde,432852,1800000,8,8,1.0,8.0,1800000
Laros Duarte,Mediocampista,Cabo Verde,258513,1000000,7,11,0.636,5.16,1000000
Yannick Semedo,Mediocampista,Cabo Verde,620307,250000,0,12,0.0,0.0,250000
Willy Semedo,Mediocampista,Cabo Verde,531450,1000000,4,14,0.286,2.36,1000000
Telmo Arcanjo,Mediocampista,Cabo Verde,791528,3000000,3,6,0.5,4.08,3000000
Nuno Da Costa,Mediocampista,Cabo Verde,306166,400000,15,17,0.882,7.09,400000
Hélio Varela,Mediocampista,Cabo Verde,840836,2500000,2,6,0.333,2.74,2500000
Gilson Benchimol,Delantero,Cabo Verde,820252,1200000,4,6,0.667,5.41,1200000
Dailon Livramento,Delantero,Cabo Verde,676411,800000,1,7,0.143,1.18,800000
Ryan Mendes,Delantero,Cabo Verde,111627,200000,10,18,0.556,4.53,200000
Matt Turner,Portero,Estados Unidos,425306,2500000,3,13,0.231,1.91,2500000
Matt Freese,Portero,Estados Unidos,500309,2000000,2,9,0.222,1.83,2000000
Chris Brady,Portero,Estados Unidos,765504,2500000,2,4,0.5,4.08,2500000
Sergiño Dest,Defensa,Estados Unidos,361104,18000000,15,7,2.143,16.35,18000000
Chris Richards,Defensa,Estados Unidos,578539,28000000,13,8,1.625,12.66,28000000
Antonee Robinson,Defensa,Estados Unidos,349701,22000000,15,10,1.5,11.75,22000000
Auston Trusty,Defensa,Estados Unidos,389253,6000000,0,9,0.0,0.0,6000000
Miles Robinson,Defensa,Estados Unidos,468022,3500000,7,11,0.636,5.16,3500000
Tim Ream,Defensa,Estados Unidos,145466,150000,7,20,0.35,2.87,150000
Alex Freeman,Defensa,Estados Unidos,985806,3500000,0,3,0.0,0.0,3500000
Maximilian Arfsten,Defensa,Estados Unidos,993063,5000000,0,7,0.0,0.0,5000000
Mark McKenzie,Defensa,Estados Unidos,429259,7000000,7,9,0.778,6.28,7000000
Joe Scally,Defensa,Estados Unidos,504153,7000000,3,5,0.6,4.88,7000000
Tyler Adams,Mediocampista,Estados Unidos,332705,25000000,15,9,1.667,12.97,25000000
Giovanni Reyna,Mediocampista,Estados Unidos,504215,4000000,15,5,3.0,22.12,4000000
