Nombre_jugador,posicion,seleccion,player_id,Valor_mercado,Total_Lesiones,Años_Expuesto,Tasa_Lambda,Prob_Lesion_Mundial_%,Puntuacion
Jhon Lucumí,Defensa,Colombia,413565,22000000,5,9,0.556,4.53,22000000
Santiago Arias,Defensa,Colombia,120443,1200000,15,16,0.938,7.52,1200000
Yerry Mina,Defensa,Colombia,289446,2500000,15,13,1.154,9.17,2500000
Johan Mojica,Defensa,Colombia,262939,1500000,8,15,0.533,4.34,1500000
Willer Ditta,Defensa,Colombia,609255,5500000,0,10,0.0,0.0,5500000
Déiver Machado,Defensa,Colombia,332560,1800000,13,14,0.929,7.45,1800000
Dávinson Sánchez,Defensa,Colombia,341429,16000000,11,12,0.917,7.36,16000000
Kevin Castaño,Mediocampista,Colombia,857948,5000000,0,7,0.0,0.0,5000000
Richard Ríos,Mediocampista,Colombia,735573,25000000,2,8,0.25,2.06,25000000
Jorge Carrascal,Mediocampista,Colombia,354145,13000000,4,10,0.4,3.28,13000000
James Rodríguez,Mediocampista,Colombia,88103,1500000,15,16,0.938,7.52,1500000
Jhon Arias,Mediocampista,Colombia,588989,15000000,0,10,0.0,0.0,15000000
Gustavo Puerta,Mediocampista,Colombia,936981,10000000,0,4,0.0,0.0,10000000
Juan Portilla,Mediocampista,Colombia,585747,5000000,2,9,0.222,1.83,5000000
Jefferson Lerma,Mediocampista,Colombia,262980,6000000,15,13,1.154,9.17,6000000
Juan Fernando Quintero,Mediocampista,Colombia,122582,1800000,15,15,1.0,8.0,1800000
Luis Díaz,Delantero,Colombia,480692,70000000,4,11,0.364,2.99,70000000
Jhon Córdoba,Delantero,Colombia,185245,10000000,15,15,1.0,8.0,10000000
Juan Camilo Hernández,Delantero,Colombia,459463,18000000,9,9,1.0,8.0,18000000
Jáminton Campaz,Delantero,Colombia,491553,5500000,7,8,0.875,7.03,5500000
Luis Suárez,Delantero,Colombia,44352,1500000,15,21,0.714,5.78,1500000
Carlos Andrés Gómez,Delantero,Colombia,957461,11000000,3,5,0.6,4.88,11000000
Johny Placide,Portero,Haití,51035,150000,2,20,0.1,0.83,150000
Alexandre Pierre,Portero,Haití,838947,700000,0,7,0.0,0.0,700000
Josué Duverger,Portero,Haití,490369,50000,0,8,0.0,0.0,50000
Carlens Arcus,Defensa,Haití,371686,1800000,4,11,0.364,2.99,1800000
Keeto Thermoncy,Defensa,Haití,1061046,100000,0,2,0.0,0.0,100000
Ricardo Adé,Defensa,Haití,278145,300000,1,18,0.056,0.47,300000
Hannes Delcroix,Defensa,Haití,338635,2000000,7,9,0.778,6.28,2000000
Martin Expérience,Defensa,Haití,804885,350000,0,9,0.0,0.0,350000
Markhus Lacroix,Defensa,Haití,375472,125000,0,14,0.0,0.0,125000
Garven Metusala,Defensa,Haití,859175,200000,1,8,0.125,1.04,200000
Jean-Kévin Duverne,Defensa,Haití,344864,2000000,4,10,0.4,3.28,2000000
Wilguens Paugain,Defensa,Haití,609691,800000,2,6,0.333,2.74,800000
Carl Sainté,Mediocampista,Haití,718244,125000,0,5,0.0,0.0,125000
Jean-Ricner Bellegarde,Mediocampista,Haití,450050,16000000,7,9,0.778,6.28,16000000
Danley Jean Jacques,Mediocampista,Haití,628834,3000000,0,8,0.0,0.0,3000000
Dominique Simon,Mediocampista,Haití,988188,200000,4,7,0.571,4.65,200000
Woodensky Pierre,Mediocampista,Haití,1017735,100000,0,3,0.0,0.0,100000
Derrick Etienne,Delantero,Haití,354763,800000,5,11,0.455,3.72,800000
Duckens Nazon,Delantero,Haití,345763,800000,4,14,0.286,2.36,800000
Louicius Deedson,Delantero,Haití,646108,1200000,2,7,0.286,2.36,1200000
Ruben Providence,Delantero,Haití,536520,300000,1,6,0.167,1.38,300000
Lenny Joseph,Delantero,Haití,815359,2000000,0,7,0.0,0.0,2000000
Wilson Isidor,Delantero,Haití,494237,18000000,4,7,0.571,4.65,18000000
Yassin Fortune,Delantero,Haití,342878,300000,7,9,0.778,6.28,300000
Frantzdy Pierrot,Delantero,Haití,492955,1500000,5,13,0.385,3.16,1500000
Josué Casimir,Delantero,Haití,763182,3000000,6,6,1.0,8.0,3000000
Roberto Junior Fernández,Portero,Paraguay,107318,100000,2,20,0.1,0.83,100000
Orlando Gill,Portero,Paraguay,643259,6000000,0,8,0.0,0.0,6000000
Gastón Olveira,Portero,Paraguay,301722,500000,2,15,0.133,1.1,500000
Gustavo Velázquez,Defensa,Paraguay,389399,400000,2,17,0.118,0.98,400000
Omar Alderete,Defensa,Paraguay,353032,13000000,8,11,0.727,5.88,13000000
Juan José Cáceres,Defensa,Paraguay,756494,5000000,5,8,0.625,5.08,5000000
Fabián Balbuena,Defensa,Paraguay,285548,900000,8,16,0.5,4.08,900000
Junior Alonso,Defensa,Paraguay,273000,1500000,1,15,0.067,0.56,1500000
José Canale,Defensa,Paraguay,402627,2200000,3,11,0.273,2.25,2200000
Gustavo Gómez,Defensa,Paraguay,215390,3500000,4,15,0.267,2.2,3500000
Alexandro Maidana,Defensa,Paraguay,1371519,2500000,0,2,0.0,0.0,2500000
Diego Gómez,Mediocampista,Paraguay,996897,25000000,4,5,0.8,6.45,25000000
Maurício Prado,Mediocampista,Paraguay,678439,15000000,5,6,0.833,6.71,15000000
Andrés Cubas,Mediocampista,Paraguay,323872,4500000,5,12,0.417,3.42,4500000
Damián Bobadilla,Mediocampista,Paraguay,861852,6000000,5,6,0.833,6.71,6000000
Alejandro Romero Gamarra,Mediocampista,Paraguay,355817,4500000,1,13,0.077,0.64,4500000
Braian Ojeda,Mediocampista,Paraguay,491596,3500000,0,7,0.0,0.0,3500000
Matías Galarza,Mediocampista,Paraguay,909737,5500000,3,6,0.5,4.08,5500000
Ramón Sosa,Delantero,Paraguay,745191,10000000,7,8,0.875,7.03,10000000
Antonio Sanabria,Delantero,Paraguay,234523,1800000,15,12,1.25,9.89,1800000
Miguel Almirón,Delantero,Paraguay,272999,7000000,14,14,1.0,8.0,7000000
Álex Arce,Delantero,Paraguay,970518,3500000,3,13,0.231,1.91,3500000
Julio Enciso,Delantero,Paraguay,660867,25000000,5,4,1.25,9.89,25000000
Gabriel Ávalos,Delantero,Paraguay,358418,750000,4,17,0.235,1.94,750000
Gustavo Caballero,Delantero,Paraguay,891672,1000000,0,6,0.0,0.0,1000000
Isidro Pitta,Delantero,Paraguay,675178,7500000,3,8,0.375,3.08,7500000
Nawaf Al-Aqidi,Portero,Arabia Saudita,886183,650000,1,8,0.125,1.04,650000
Mohammed Al-Owais,Portero,Arabia Saudita,262845,275000,3,16,0.188,1.55,275000
Ahmed Al-Kassar,Portero,Arabia Saudita,177956,175000,2,17,0.118,0.98,175000
Ali Majrashi,Defensa,Arabia Saudita,672391,1400000,3,8,0.375,3.08,1400000
Ali Lajami,Defensa,Arabia Saudita,264909,750000,2,12,0.167,1.38,750000
Abdulelah Al-Amri,Defensa,Arabia Saudita,509894,1400000,4,11,0.364,2.99,1400000
Hassan Al-Tambakti,Defensa,Arabia Saudita,509897,1800000,6,9,0.667,5.41,1800000
Saud Abdulhamid,Defensa,Arabia Saudita,631927,9000000,0,7,0.0,0.0,9000000
Nawaf Boushal,Defensa,Arabia Saudita,821377,1400000,0,8,0.0,0.0,1400000
Hassan Kadesh,Defensa,Arabia Saudita,260859,275000,4,15,0.267,2.2,275000
Moteb Al-Harbi,Defensa,Arabia Saudita,869509,1400000,4,8,0.5,4.08,1400000
Jehad Thakri,Defensa,Arabia Saudita,901334,1200000,2,6,0.333,2.74,1200000
Mohammed Abu Al-Shamat,Defensa,Arabia Saudita,1181852,1800000,0,5,0.0,0.0,1800000
Nasser Al-Dawsari,Mediocampista,Arabia Saudita,509911,900000,1,9,0.111,0.92,900000
Musab Al-Juwayr,Mediocampista,Arabia Saudita,901181,6000000,1,4,0.25,2.06,6000000
Abdullah Al-Khaibari,Mediocampista,Arabia Saudita,437903,750000,6,11,0.545,4.44,750000
Ziyad Al-Johani,Mediocampista,Arabia Saudita,901079,800000,1,6,0.167,1.38,800000
Alaa Al-Hejji,Mediocampista,Arabia Saudita,443937,300000,0,12,0.0,0.0,300000
Mohamed Kanno,Mediocampista,Arabia Saudita,308120,800000,3,13,0.231,1.91,800000
Ayman Yahya,Delantero,Arabia Saudita,735815,1200000,4,7,0.571,4.65,1200000
Firas Al-Buraikan,Delantero,Arabia Saudita,631922,3500000,1,8,0.125,1.04,3500000
Salem Al-Dawsari,Delantero,Arabia Saudita,195332,1200000,15,16,0.938,7.52,1200000
Saleh Al-Shehri,Delantero,Arabia Saudita,242267,500000,5,14,0.357,2.93,500000
Khalid Al-Ghannam,Delantero,Arabia Saudita,631923,2500000,1,7,0.143,1.18,2500000
Abdullah Al-Hamdan,Delantero,Arabia Saudita,68626,350000,0,8,0.0,0.0,350000
Sultan Mandash,Delantero,Arabia Saudita,210349,350000,1,13,0.077,0.64,350000
Kim Seung-gyu,Portero,Corea del Sur,92076,500000,5,17,0.294,2.42,500000
Song Bum-keun,Portero,Corea del Sur,508237,1000000,2,10,0.2,1.65,1000000
Jo Hyeon-woo,Portero,Corea del Sur,260171,650000,5,16,0.312,2.57,650000
Lee Han-beom,Defensa,Corea del Sur,706963,3000000,3,6,0.5,4.08,3000000
Kim Min-jae,Defensa,Corea del Sur,503482,20000000,15,11,1.364,10.74,20000000
Kim Tae-hyeon,Defensa,Corea del Sur,645847,1200000,1,7,0.143,1.18,1200000
Lee Tae-seok,Defensa,Corea del Sur,639027,2000000,4,5,0.8,6.45,2000000
Cho Wi-je,Defensa,Corea del Sur,550978,550000,3,6,0.5,4.08,550000
Kim Moon-hwan,Defensa,Corea del Sur,524592,750000,10,12,0.833,6.71,750000
Park Jin-seop,Defensa,Corea del Sur,557469,1000000,3,12,0.25,2.06,1000000
Seol Young-woo,Defensa,Corea del Sur,639414,6500000,1,9,0.111,0.92,6500000
Jens Castrop,Defensa,Corea del Sur,613192,10000000,11,4,2.75,20.48,10000000
Lee Gi-hyuk,Mediocampista,Corea del Sur,763349,800000,0,7,0.0,0.0,800000
Hwang In-beom,Mediocampista,Corea del Sur,365394,7000000,14,11,1.273,10.07,7000000
Paik Seung-ho,Mediocampista,Corea del Sur,282689,2000000,10,11,0.909,7.3,2000000
Lee Jae-sung,Mediocampista,Corea del Sur,314398,2000000,12,15,0.8,6.45,2000000
Hwang Hee-chan,Mediocampista,Corea del Sur,292246,6000000,15,12,1.25,9.89,6000000
Bae Jun-ho,Mediocampista,Corea del Sur,912081,4000000,0,4,0.0,0.0,4000000
Lee Kang-in,Mediocampista,Corea del Sur,557149,28000000,9,7,1.286,10.16,28000000
Yang Hyun-jun,Mediocampista,Corea del Sur,853110,5000000,1,6,0.167,1.38,5000000
Kim Jin-gyu,Mediocampista,Corea del Sur,365377,1200000,2,11,0.182,1.51,1200000
Eom Ji-sung,Mediocampista,Corea del Sur,706968,1800000,7,6,1.167,9.27,1800000
Lee Dong-gyeong,Mediocampista,Corea del Sur,558086,1600000,4,10,0.4,3.28,1600000
Son Heung-min,Delantero,Corea del Sur,91845,15000000,15,15,1.0,8.0,15000000
Cho Gue-sung,Delantero,Corea del Sur,652537,2500000,7,10,0.7,5.67,2500000
Oh Hyeon-gyu,Delantero,Corea del Sur,639246,15000000,4,7,0.571,4.65,15000000
Jordan Pickford,Portero,Inglaterra,130164,13000000,4,14,0.286,2.36,13000000
Dean Henderson,Portero,Inglaterra,258919,28000000,6,11,0.545,4.44,28000000
James Trafford,Portero,Inglaterra,566799,25000000,1,5,0.2,1.65,25000000
Reece James,Defensa,Inglaterra,472423,60000000,15,8,1.875,14.47,60000000
Nico O'Reilly,Defensa,Inglaterra,743413,70000000,2,3,0.667,5.41,70000000
Ezri Konsa,Defensa,Inglaterra,413403,40000000,7,10,0.7,5.67,40000000
John Stones,Defensa,Inglaterra,186590,12000000,15,14,1.071,8.54,12000000
Marc Guéhi,Defensa,Inglaterra,392757,70000000,5,7,0.714,5.78,70000000
Jarell Quansah,Defensa,Inglaterra,632349,45000000,2,5,0.4,3.28,45000000
Dan Burn,Defensa,Inglaterra,134270,4000000,8,16,0.5,4.08,4000000
Djed Spence,Defensa,Inglaterra,483348,30000000,6,7,0.857,6.89,30000000
Trevoh Chalobah,Defensa,Inglaterra,346314,40000000,13,8,1.625,12.66,40000000
Declan Rice,Mediocampista,Inglaterra,357662,120000000,7,9,0.778,6.28,120000000
Jordan Henderson,Mediocampista,Inglaterra,61651,1200000,15,18,0.833,6.71,1200000
Jude Bellingham,Mediocampista,Inglaterra,581678,130000000,8,4,2.0,15.35,130000000
Eberechi Eze,Mediocampista,Inglaterra,479999,65000000,9,9,1.0,8.0,65000000
Elliot Anderson,Mediocampista,Inglaterra,567576,75000000,2,5,0.4,3.28,75000000
Morgan Rogers,Mediocampista,Inglaterra,503743,90000000,1,5,0.2,1.65,90000000
Kobbie Mainoo,Mediocampista,Inglaterra,820374,70000000,6,3,2.0,15.35,70000000
Bukayo Saka,Delantero,Inglaterra,433177,110000000,13,6,2.167,16.52,110000000
Harry Kane,Delantero,Inglaterra,132098,60000000,15,14,1.071,8.54,60000000
Ollie Watkins,Delantero,Inglaterra,324358,25000000,4,12,0.333,2.74,25000000
Ivan Toney,Delantero,Inglaterra,251664,20000000,5,12,0.417,3.42,20000000
Marcus Rashford,Delantero,Inglaterra,258923,40000000,15,10,1.5,11.75,40000000
Anthony Gordon,Delantero,Inglaterra,503733,65000000,9,7,1.286,10.16,65000000
Noni Madueke,Delantero,Inglaterra,503987,50000000,13,6,2.167,16.52,50000000
Diogo Costa,Portero,Portugal,357153,40000000,9,8,1.125,8.95,40000000
José Sá,Portero,Portugal,249994,3500000,7,15,0.467,3.82,3500000
Rui Silva,Portero,Portugal,234811,7000000,3,14,0.214,1.77,7000000
Nélson Semedo,Defensa,Portugal,231572,6000000,13,14,0.929,7.45,6000000
Rúben Dias,Defensa,Portugal,258004,55000000,15,11,1.364,10.74,55000000
Tomás Araújo,Defensa,Portugal,504087,30000000,5,6,0.833,6.71,30000000
Diogo Dalot,Defensa,Portugal,357147,30000000,10,9,1.111,8.84,30000000
Renato Veiga,Defensa,Portugal,805714,25000000,3,4,0.75,6.06,25000000
Gonçalo Inácio,Defensa,Portugal,549006,40000000,10,6,1.667,12.97,40000000
João Cancelo,Defensa,Portugal,182712,8000000,13,14,0.929,7.45,8000000
Samú Costa,Defensa,Portugal,657430,15000000,3,7,0.429,3.51,15000000
Nuno Mendes,Defensa,Portugal,616341,80000000,15,5,3.0,22.12,80000000
Matheus Nunes,Mediocampista,Portugal,601883,50000000,6,9,0.667,5.41,50000000
Bruno Fernandes,Mediocampista,Portugal,240306,35000000,5,13,0.385,3.16,35000000
Bernardo Silva,Mediocampista,Portugal,241641,22000000,10,13,0.769,6.21,22000000
João Neves,Mediocampista,Portugal,670681,140000000,5,3,1.667,12.97,140000000
Rúben Neves,Mediocampista,Portugal,225161,25000000,6,11,0.545,4.44,25000000
Vitinha,Mediocampista,Portugal,487469,140000000,6,8,0.75,6.06,140000000
Cristiano Ronaldo,Delantero,Portugal,8198,10000000,15,23,0.652,5.29,10000000
Gonçalo Ramos,Delantero,Portugal,550550,30000000,8,6,1.333,10.51,30000000
João Félix,Delantero,Portugal,462250,28000000,15,8,1.875,14.47,28000000
Francisco Trincão,Delantero,Portugal,412669,40000000,5,8,0.625,5.08,40000000
Rafael Leão,Delantero,Portugal,357164,50000000,12,9,1.333,10.51,50000000
Pedro Neto,Delantero,Portugal,487465,60000000,14,8,1.75,13.57,60000000
Gonçalo Guedes,Delantero,Portugal,225122,6000000,8,11,0.727,5.88,6000000
Francisco Conceição,Delantero,Portugal,487474,30000000,13,5,2.6,19.48,30000000
Melvin Mastil,Portero,Argelia,534398,250000,3,8,0.375,3.08,250000
Oussama Benbot,Portero,Argelia,437982,850000,1,13,0.077,0.64,850000
Luca Zidane,Portero,Argelia,283489,1000000,9,10,0.9,7.23,1000000
Aïssa Mandi,Defensa,Argelia,80293,1000000,6,16,0.375,3.08,1000000
Achref Abada,Defensa,Argelia,949929,1000000,1,9,0.111,0.92,1000000
Mohamed Amine Tougai,Defensa,Argelia,592396,1300000,5,8,0.625,5.08,1300000
Zineddine Belaïd,Defensa,Argelia,625142,1800000,0,9,0.0,0.0,1800000
Jaouen Hadjam,Defensa,Argelia,750903,7000000,2,5,0.4,3.28,7000000
Rayan Aït-Nouri,Defensa,Argelia,578391,40000000,14,7,2.0,15.35,40000000
Rafik Belghali,Defensa,Argelia,864306,7000000,6,6,1.0,8.0,7000000
Ramy Bensebaini,Defensa,Argelia,284732,7000000,15,13,1.154,9.17,7000000
Samir Chergui,Defensa,Argelia,668167,3000000,4,9,0.444,3.63,3000000
Ramiz Zerrouki,Mediocampista,Argelia,416660,6500000,4,10,0.4,3.28,6500000
Houssem Aouar,Mediocampista,Argelia,395693,8000000,14,9,1.556,12.16,8000000
Farès Chaïbi,Mediocampista,Argelia,855015,15000000,5,5,1.0,8.0,15000000
Hicham Boudaoui,Mediocampista,Argelia,560593,12000000,15,8,1.875,14.47,12000000
Nabil Bentaleb,Mediocampista,Argelia,245537,4500000,15,13,1.154,9.17,4500000
Ibrahim Maza,Mediocampista,Argelia,905011,45000000,5,2,2.5,18.81,45000000
Yacine Titraoui,Mediocampista,Argelia,748445,7000000,4,4,1.0,8.0,7000000
Riyad Mahrez,Delantero,Argelia,171424,5000000,3,17,0.176,1.46,5000000
Amine Gouiri,Delantero,Argelia,418659,28000000,10,8,1.25,9.89,28000000
Anis Hadj Moussa,Delantero,Argelia,917911,23000000,5,6,0.833,6.71,23000000
Nadhir Benbouali,Delantero,Argelia,840254,1200000,3,8,0.375,3.08,1200000
Mohamed Amoura,Delantero,Argelia,746910,20000000,9,8,1.125,8.95,20000000
Adil Boulbina,Delantero,Argelia,748443,3000000,0,5,0.0,0.0,3000000
Farès Ghedjemis,Delantero,Argelia,888738,7500000,2,5,0.4,3.28,7500000
Yahia Fofana,Portero,Costa de Marfil,418651,5000000,2,7,0.286,2.36,5000000
Mohamed Koné,Portero,Costa de Marfil,911985,2000000,1,6,0.167,1.38,2000000
Alban Lafont,Portero,Costa de Marfil,357117,3000000,4,9,0.444,3.63,3000000
Ousmane Diomandé,Defensa,Costa de Marfil,974982,42000000,4,4,1.0,8.0,42000000
Ghislain Konan,Defensa,Costa de Marfil,422850,3000000,3,12,0.25,2.06,3000000
Wilfried Singo,Defensa,Costa de Marfil,648779,23000000,9,7,1.286,10.16,23000000
Odilon Kossounou,Defensa,Costa de Marfil,644771,15000000,6,7,0.857,6.89,15000000
Christopher Operi,Defensa,Costa de Marfil,469976,4000000,10,11,0.909,7.3,4000000
Guéla Doué,Defensa,Costa de Marfil,711980,20000000,4,5,0.8,6.45,20000000
Emmanuel Agbadou,Defensa,Costa de Marfil,683895,16000000,2,11,0.182,1.51,16000000
Evan N'Dicka,Defensa,Costa de Marfil,371149,35000000,10,8,1.25,9.89,35000000
Jean Michaël Seri,Mediocampista,Costa de Marfil,178614,100000,4,16,0.25,2.06,100000
Seko Fofana,Mediocampista,Costa de Marfil,182893,8000000,10,13,0.769,6.21,8000000
Franck Kessié,Mediocampista,Costa de Marfil,294808,12000000,7,11,0.636,5.16,12000000
Ibrahim Sangaré,Mediocampista,Costa de Marfil,375885,20000000,8,10,0.8,6.45,20000000
Parfait Guiagon,Mediocampista,Costa de Marfil,624913,5000000,8,7,1.143,9.09,5000000
Christ Inao Oulaï,Mediocampista,Costa de Marfil,1279526,23000000,0,2,0.0,0.0,23000000
Ange-Yoan Bonny,Delantero,Costa de Marfil,827734,35000000,5,4,1.25,9.89,35000000
Simon Adingra,Delantero,Costa de Marfil,658536,22000000,4,6,0.667,5.41,22000000
Yan Diomande,Delantero,Costa de Marfil,1390649,90000000,1,1,1.0,8.0,90000000
Elye Wahi,Delantero,Costa de Marfil,659542,18000000,6,5,1.2,9.52,18000000
Oumar Diakité,Delantero,Costa de Marfil,847279,5000000,1,4,0.25,2.06,5000000
Amad Diallo,Delantero,Costa de Marfil,536835,45000000,5,5,1.0,8.0,45000000
Nicolas Pépé,Delantero,Costa de Marfil,343052,6000000,13,13,1.0,8.0,6000000
Evann Guessand,Delantero,Costa de Marfil,500689,25000000,3,6,0.5,4.08,25000000
Bazoumana Touré,Delantero,Costa de Marfil,1067904,40000000,0,2,0.0,0.0,40000000
Fahad Talib,Portero,Irak,377268,375000,2,13,0.154,1.28,375000
Jalal Hassan,Portero,Irak,206782,250000,1,17,0.059,0.49,250000
Ahmed Basil,Portero,Irak,560952,450000,2,11,0.182,1.51,450000
Rebin Sulaka,Defensa,Irak,217073,100000,2,16,0.125,1.04,100000
Hussein Ali,Defensa,Irak,585325,400000,3,6,0.5,4.08,400000
Zaid Tahseen,Defensa,Irak,931147,600000,2,7,0.286,2.36,600000
Akam Hashim,Defensa,Irak,933541,700000,2,9,0.222,1.83,700000
Manaf Younis,Defensa,Irak,945266,300000,5,11,0.455,3.72,300000
Ahmed Maknzi,Defensa,Irak,881506,450000,0,6,0.0,0.0,450000
Merchas Doski,Defensa,Irak,530527,1700000,4,8,0.5,4.08,1700000
Mustafa Saadoon,Defensa,Irak,952341,350000,0,7,0.0,0.0,350000
Frans Putros,Defensa,Irak,166460,325000,5,14,0.357,2.93,325000
Youssef Amyn,Mediocampista,Irak,684307,550000,3,4,0.75,6.06,550000
Ibrahim Bayesh,Mediocampista,Irak,560957,800000,4,7,0.571,4.65,800000
Zidane Iqbal,Mediocampista,Irak,686845,1000000,6,5,1.2,9.52,1000000
Amir Al-Ammari,Mediocampista,Irak,303766,1000000,0,10,0.0,0.0,1000000
Kevin Yakob,Mediocampista,Irak,413268,850000,3,7,0.429,3.51,850000
Aimar Sher,Mediocampista,Irak,579294,1500000,5,5,1.0,8.0,1500000
Zaid Ismail,Mediocampista,Irak,1132850,500000,0,6,0.0,0.0,500000
Ali Al-Hamadi,Delantero,Irak,610581,1500000,3,6,0.5,4.08,1500000
Mohanad Ali,Delantero,Irak,589646,1200000,7,7,1.0,8.0,1200000
Ahmed Qasem,Delantero,Irak,833817,3500000,1,4,0.25,2.06,3500000
Ali Yousif,Delantero,Irak,576265,200000,1,12,0.083,0.69,200000
Ali Jasim,Delantero,Irak,877672,500000,0,4,0.0,0.0,500000
Aymen Hussein,Delantero,Irak,401054,400000,5,12,0.417,3.42,400000
Marko Farji,Delantero,Irak,663153,1700000,0,4,0.0,0.0,1700000
Matěj Kovář,Portero,República Checa,550829,8000000,2,8,0.25,2.06,8000000
Jindřich Staněk,Portero,República Checa,242089,2000000,11,12,0.917,7.36,2000000
Lukáš Horníček,Portero,República Checa,629773,18000000,0,5,0.0,0.0,18000000
David Zima,Defensa,República Checa,544149,7000000,15,7,2.143,16.35,7000000
Tomáš Holeš,Defensa,República Checa,216278,1000000,15,15,1.0,8.0,1000000
Robin Hranáč,Defensa,República Checa,620217,10000000,1,8,0.125,1.04,10000000
Vladimír Coufal,Defensa,República Checa,157672,2500000,10,15,0.667,5.41,2500000
Štěpán Chaloupek,Defensa,República Checa,944827,10000000,5,5,1.0,8.0,10000000
Ladislav Krejčí,Defensa,República Checa,345911,22000000,14,9,1.556,12.16,22000000
David Jurásek,Defensa,República Checa,500054,5000000,7,7,1.0,8.0,5000000
Jaroslav Zelený,Defensa,República Checa,142219,600000,10,15,0.667,5.41,600000
David Douděra,Defensa,República Checa,493758,3500000,7,10,0.7,5.67,3500000
Vladimír Darida,Mediocampista,República Checa,179643,375000,15,17,0.882,7.09,375000
Lukáš Červ,Mediocampista,República Checa,611049,6000000,2,7,0.286,2.36,6000000
Lukáš Provod,Mediocampista,República Checa,292779,8000000,15,11,1.364,10.74,8000000
Michal Sadílek,Mediocampista,República Checa,321204,8000000,12,9,1.333,10.51,8000000
Tomáš Souček,Mediocampista,República Checa,283628,10000000,2,13,0.154,1.28,10000000
Alexandr Sojka,Mediocampista,República Checa,826103,2300000,0,5,0.0,0.0,2300000
Hugo Sochůrek,Mediocampista,República Checa,1206877,3500000,1,1,1.0,8.0,3500000
Adam Hložek,Delantero,República Checa,552057,10000000,15,5,3.0,22.12,10000000
Patrik Schick,Delantero,República Checa,242086,18000000,15,12,1.25,9.89,18000000
Jan Kuchta,Delantero,República Checa,334802,2700000,9,11,0.818,6.59,2700000
Mojmír Chytil,Delantero,República Checa,405855,4000000,1,9,0.111,0.92,4000000
Pavel Šulc,Delantero,República Checa,500053,20000000,0,7,0.0,0.0,20000000
Tomáš Chorý,Delantero,República Checa,198614,2700000,3,13,0.231,1.91,2700000
Denis Višinský,Delantero,República Checa,652060,3000000,0,5,0.0,0.0,3000000
Juan Musso,Portero,Argentina,242359,3000000,5,14,0.357,2.93,3000000
Gerónimo Rulli,Portero,Argentina,229604,6000000,3,16,0.188,1.55,6000000
Emiliano Martínez,Portero,Argentina,111873,12000000,8,15,0.533,4.34,12000000
Marcos Senesi,Defensa,Argentina,469781,25000000,8,11,0.727,5.88,25000000
Nicolás Tagliafico,Defensa,Argentina,131225,4000000,15,15,1.0,8.0,4000000
Gonzalo Montiel,Defensa,Argentina,402733,4500000,15,11,1.364,10.74,4500000
Lisandro Martínez,Defensa,Argentina,480762,40000000,11,10,1.1,8.76,40000000
